Subj,group,Conditions,Mask,CorrVal
S076,Replication,target_baseline,HPC,0.82375976677759
S076,Replication,target_reverse,HPC,0.692678444449728
S076,Replication,target_novel,HPC,0.389191953234559
S076,Replication,baseline_reverse,HPC,0.819542192563592
S076,Replication,baseline_novel,HPC,0.644883746557541
S076,Replication,reverse_novel,HPC,0.49419828960625
S092,,target_baseline,HPC,0.964205538629238
S092,,target_reverse,HPC,0.870860425504916
S092,,target_novel,HPC,0.969078186454137
S092,,baseline_reverse,HPC,0.90411172398322
S092,,baseline_novel,HPC,0.977506120510125
S092,,reverse_novel,HPC,0.869287213163823
S093,Replication,target_baseline,HPC,0.98902312857696
S093,Replication,target_reverse,HPC,0.949879116928328
S093,Replication,target_novel,HPC,0.9726930634113
S093,Replication,baseline_reverse,HPC,0.967308517801782
S093,Replication,baseline_novel,HPC,0.959307915604067
S093,Replication,reverse_novel,HPC,0.924579945775076
S095,Replication,target_baseline,HPC,0.931505894553712
S095,Replication,target_reverse,HPC,0.901433755739629
S095,Replication,target_novel,HPC,0.939837326321128
S095,Replication,baseline_reverse,HPC,0.929723821489075
S095,Replication,baseline_novel,HPC,0.914140819953168
S095,Replication,reverse_novel,HPC,0.838019780585127
S097,Replication,target_baseline,HPC,0.930437810690481
S097,Replication,target_reverse,HPC,0.934259204703901
S097,Replication,target_novel,HPC,0.915397269992036
S097,Replication,baseline_reverse,HPC,0.944058517441401
S097,Replication,baseline_novel,HPC,0.933157802361295
S097,Replication,reverse_novel,HPC,0.905702663740465
S098,Replication,target_baseline,HPC,0.957769065564217
S098,Replication,target_reverse,HPC,0.895406172521279
S098,Replication,target_novel,HPC,0.933403659182135
S098,Replication,baseline_reverse,HPC,0.934470643056378
S098,Replication,baseline_novel,HPC,0.940617380639945
S098,Replication,reverse_novel,HPC,0.846231215445221
S123,Replication,target_baseline,HPC,0.887556484255541
S123,Replication,target_reverse,HPC,0.83327454829444
S123,Replication,target_novel,HPC,0.850519597882565
S123,Replication,baseline_reverse,HPC,0.925911071401387
S123,Replication,baseline_novel,HPC,0.90650605479065
S123,Replication,reverse_novel,HPC,0.8635525016836
S124,Replication,target_baseline,HPC,0.886264269205035
S124,Replication,target_reverse,HPC,0.888454890795005
S124,Replication,target_novel,HPC,0.819712903355288
S124,Replication,baseline_reverse,HPC,0.816920217866197
S124,Replication,baseline_novel,HPC,0.908837092195496
S124,Replication,reverse_novel,HPC,0.828421090951891
S132,Replication,target_baseline,HPC,0.528242367318816
S132,Replication,target_reverse,HPC,0.695880517643998
S132,Replication,target_novel,HPC,0.351745571448384
S132,Replication,baseline_reverse,HPC,0.735945535751879
S132,Replication,baseline_novel,HPC,0.871827286018357
S132,Replication,reverse_novel,HPC,0.541478880289206
S133,Replication,target_baseline,HPC,0.914498646399969
S133,Replication,target_reverse,HPC,0.88826547533672
S133,Replication,target_novel,HPC,0.912071919860712
S133,Replication,baseline_reverse,HPC,0.883463417619926
S133,Replication,baseline_novel,HPC,0.904016890837305
S133,Replication,reverse_novel,HPC,0.792333848970133
S134,Replication,target_baseline,HPC,0.92935131656593
S134,Replication,target_reverse,HPC,0.832012407097257
S134,Replication,target_novel,HPC,0.897792768910895
S134,Replication,baseline_reverse,HPC,0.91667710368266
S134,Replication,baseline_novel,HPC,0.91955798656123
S134,Replication,reverse_novel,HPC,0.876154065171385
S141,Replication,target_baseline,HPC,0.630922546310451
S141,Replication,target_reverse,HPC,0.441602059946638
S141,Replication,target_novel,HPC,0.175717275341091
S141,Replication,baseline_reverse,HPC,0.722313506945585
S141,Replication,baseline_novel,HPC,0.471192736826481
S141,Replication,reverse_novel,HPC,0.285766860711458
S151,Replication,target_baseline,HPC,0.891441113527014
S151,Replication,target_reverse,HPC,0.864412421163633
S151,Replication,target_novel,HPC,0.870666460487498
S151,Replication,baseline_reverse,HPC,0.916809577649658
S151,Replication,baseline_novel,HPC,0.879909913352874
S151,Replication,reverse_novel,HPC,0.893728490824659
S153,Replication,target_baseline,HPC,-0.0926000687557675
S153,Replication,target_reverse,HPC,-0.0236547924620298
